block,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time,pulses,fa_rate_recent100,p_catch
0,145,target,"[(1168, 769)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 262.0)",0.6,0.543,1,6006.708,3,0.02,0.25
0,146,target,"[(1174, 751), (1131, 833)]",[],"[0, 1]",[0.85],vertical,"(390.0, 762.0)",1.0,nan,0,6011.826,0,0.02,0.25
0,147,target,"[(1154, 795)]",[],[1],[0.7166666666666667],horizontal,"(390.0, 262.0)",0.7,0.682,1,6017.926,1,0.02,0.25
0,148,target,"[(1130, 760)]",[],[1],[0.23333333333333334],horizontal,"(890.0, 762.0)",1.1833333333333333,0.201,1,6023.075,1,0.02,0.25
0,149,target,"[(1184, 780)]",[],[1],[0.6666666666666666],horizontal,"(390.0, 762.0)",1.15,0.629,1,6028.426,1,0.02,0.25
0,150,target,"[(1159, 770)]",[],[1],[0.7666666666666666],vertical,"(890.0, 762.0)",0.9833333333333333,0.725,1,6033.821,2,0.02,0.25
0,151,target,"[(1159, 766)]",[],[1],[0.7166666666666667],horizontal,"(390.0, 762.0)",0.7,0.672,1,6039.437,2,0.02,0.25
0,152,target,"[(1171, 808)]",[],[1],[0.6],vertical,"(890.0, 262.0)",1.2333333333333334,0.561,1,6044.564,2,0.02,0.25
0,153,target,"[(1184, 780)]",[],[1],[0.6666666666666666],horizontal,"(890.0, 262.0)",0.48333333333333334,0.622,1,6050.276,2,0.02,0.25
0,154,catch,"[(1164, 781)]",[],[1],[],horizontal,"(890.0, 262.0)",1.65,nan,1,6055.365,3,0.02,0.25
0,155,target,"[(1160, 768)]",[],[1],[0.4666666666666667],horizontal,"(390.0, 762.0)",0.6833333333333333,0.424,1,6061.485,3,0.02,0.25
0,156,target,"[(1166, 766)]",[],[1],[0.7333333333333333],horizontal,"(390.0, 762.0)",0.5666666666666667,0.686,1,6067.025,3,0.02,0.25
0,157,target,"[(1179, 767)]",[],[1],[0.55],horizontal,"(390.0, 262.0)",0.85,0.509,1,6072.591,3,0.02,0.25
0,158,target,"[(1159, 793)]",[],[1],[0.6333333333333333],vertical,"(390.0, 262.0)",0.95,0.591,1,6078.217,3,0.02,0.25
0,159,target,"[(1166, 798)]",[],[1],[0.26666666666666666],horizontal,"(890.0, 762.0)",1.4833333333333334,0.236,1,6083.776,3,0.02,0.25
0,160,target,"[(1164, 769)]",[],[1],[0.55],horizontal,"(390.0, 762.0)",0.9,0.509,1,6090.109,3,0.02,0.25
0,161,catch,"[(1164, 771)]",[],[1],[],horizontal,"(890.0, 262.0)",1.65,nan,1,6095.892,3,0.02,0.25
0,162,target,"[(1164, 791)]",[],[1],[0.5833333333333334],horizontal,"(390.0, 762.0)",0.6333333333333333,0.544,1,6102.042,3,0.02,0.25
0,163,target,"[(1181, 774)]",[],[1],[0.6],vertical,"(390.0, 762.0)",1.3333333333333333,0.56,1,6107.292,3,0.02,0.25
0,164,target,"[(1154, 779)]",[],[1],[0.4],horizontal,"(890.0, 762.0)",1.4333333333333333,0.358,1,6113.543,3,0.02,0.25
0,165,target,"[(1156, 766)]",[],[1],[0.7],horizontal,"(390.0, 762.0)",0.6833333333333333,0.656,1,6119.477,3,0.02,0.25
0,166,target,"[(1179, 789)]",[],[1],[0.6166666666666667],vertical,"(390.0, 762.0)",1.05,0.569,1,6124.998,3,0.02,0.25
0,167,target,"[(1150, 766)]",[],[1],[0.5833333333333334],horizontal,"(890.0, 262.0)",0.5333333333333333,0.542,1,6131.126,3,0.02,0.25
0,168,target,"[(1191, 776)]",[],[1],[0.6166666666666667],horizontal,"(390.0, 762.0)",1.0833333333333333,0.573,1,6136.772,3,0.02,0.25
0,169,target,"[(1165, 794)]",[],[1],[0.6166666666666667],vertical,"(390.0, 762.0)",0.4666666666666667,0.574,1,6142.792,3,0.02,0.25
0,170,catch,"[(1157, 772)]",[],[1],[],vertical,"(390.0, 762.0)",,"('cti', 1.563),nan",0,6148.049,0,0.04,0.25
