block,practice,trial,trial_type,taps_start_loc_during_fix,taps_end_loc_during_fix,taps_on_lever_during_fix,taps_on_lever_s_during_fix,bar_orientation,target_xy,cti,rt,acc,time
9,False,481,target,"[(1109, 893)]",[],[1],[],horizontal,"(890.0, 262.0)",,cti_phase,0,10232.918
9,False,482,catch,"[(1110, 888)]",[],[1],[0.45],vertical,"(390.0, 262.0)",1.0666666666666667,nan,1,10237.735
9,False,483,target,"[(1097, 895)]",[],[1],[0.2],horizontal,"(890.0, 262.0)",1.5333333333333332,0.165,1,10242.553
9,False,484,target,"[(1134, 881)]",[],[1],[],horizontal,"(390.0, 762.0)",,cti_phase,0,10248.595
9,False,485,target,"[(1108, 863)]",[],[1],[0.5333333333333333],vertical,"(390.0, 762.0)",0.5666666666666667,0.499,1,10253.303
9,False,486,catch,"[(1101, 891)]",[],[1],[0.45],vertical,"(390.0, 762.0)",0.7666666666666666,nan,1,10257.672
9,False,487,catch,"[(1076, 891)]",[],[1],[0.45],vertical,"(890.0, 262.0)",0.5166666666666666,nan,1,10262.336
9,False,488,target,"[(1102, 891)]",[],[1],[],horizontal,"(390.0, 762.0)",,cti_phase,0,10266.346
9,False,489,target,"[(1104, 863)]",[],[1],[0.2833333333333333],horizontal,"(890.0, 262.0)",1.3833333333333333,0.247,1,10271.033
9,False,490,target,"[(1100, 887)]",[],[1],[0.45],horizontal,"(890.0, 262.0)",0.8833333333333333,0.406,1,10275.653
9,False,491,target,"[(1095, 896)]",[],[1],[0.05],horizontal,"(390.0, 262.0)",1.2833333333333332,0.02,1,10280.185
9,False,492,target,"[(1084, 895)]",[],[1],[0.6],vertical,"(890.0, 762.0)",0.5833333333333334,0.565,1,10284.283
9,False,493,target,"[(1090, 886)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,10288.931
9,False,494,target,"[(1073, 883)]",[],[1],[0.48333333333333334],vertical,"(390.0, 262.0)",0.75,0.445,1,10293.019
9,False,495,catch,"[(1078, 891)]",[],[1],[0.3833333333333333],vertical,"(890.0, 262.0)",1.0,0.348,0,10298.36
9,False,496,target,"[(1102, 867)]",[],[1],[0.48333333333333334],horizontal,"(390.0, 762.0)",0.7166666666666667,0.441,1,10302.701
9,False,497,target,"[(1090, 900)]",[],[1],[0.2],vertical,"(890.0, 262.0)",1.4166666666666667,0.169,1,10307.193
9,False,498,catch,"[(1085, 886)]",[],[1],[0.45],horizontal,"(890.0, 262.0)",1.0333333333333332,nan,1,10312.116
9,False,499,target,"[(1076, 896)]",[],[1],[],vertical,"(390.0, 262.0)",,cti_phase,0,10316.858
9,False,500,catch,"[(1077, 861)]",[],[1],[0.45],vertical,"(890.0, 262.0)",0.55,nan,1,10322.294
9,False,501,target,"[(1076, 872)]",[],[1],[0.85],vertical,"(890.0, 762.0)",1.3,nan,0,10326.621
9,False,502,target,"[(833, 313), (903, 494), (853, 79), (853, 905), (959, 919), (843, 891), (854, 924), (902, 924), (834, 962), (877, 850), (861, 870), (793, 303), (882, 876), (895, 928), (859, 444), (872, 878), (869, 901), (1012, 916)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[],horizontal,"(390.0, 762.0)",,fix_phase,0,10332.15
9,False,503,target,"[(957, 867), (1091, 890)]",[],"[0, 1]",[],horizontal,"(890.0, 762.0)",,fix_phase,0,10346.748
9,False,504,target,"[(979, 924), (1027, 870)]",[],"[0, 1]",[0.23333333333333334],horizontal,"(890.0, 262.0)",0.55,0.2,1,10348.849
9,False,505,target,"[(906, 495), (887, 509), (871, 499), (587, 958), (858, 490), (875, 970), (1225, 958), (940, 251), (906, 194), (790, 213), (945, 275), (664, 385), (417, 232), (954, 394), (950, 243), (964, 251), (940, 496), (848, 384), (863, 199), (867, 415), (993, 392), (906, 385), (973, 643), (891, 392), (1051, 645), (994, 658), (1065, 394), (998, 328), (814, 396), (697, 547), (826, 389), (820, 394), (664, 405), (722, 309), (979, 380), (640, 406), (819, 557), (1062, 218), (830, 757), (1073, 903)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",[0.4666666666666667],horizontal,"(390.0, 262.0)",0.5666666666666667,0.43,1,10352.856
9,False,506,target,"[(1060, 896)]",[],[1],[],vertical,"(890.0, 762.0)",,cti_phase,0,10397.364
9,False,507,target,"[(1094, 884)]",[],[1],[0.25],horizontal,"(890.0, 262.0)",1.6166666666666667,0.213,1,10402.227
9,False,508,target,"[(1093, 881)]",[],[1],[0.5333333333333333],vertical,"(390.0, 262.0)",1.1333333333333333,0.495,1,10407.063
9,False,509,target,"[(1096, 898)]",[],[1],[0.1],vertical,"(890.0, 262.0)",1.45,0.067,1,10413.702
9,False,510,target,"[(1077, 890)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,10418.35
9,False,511,catch,"[(1093, 905)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,10422.019
9,False,512,target,"[(983, 864), (1090, 870)]",[],"[0, 1]",[0.43333333333333335],horizontal,"(890.0, 262.0)",1.2666666666666666,0.394,1,10425.976
9,False,513,target,"[(1104, 909)]",[],[1],[0.7833333333333333],horizontal,"(390.0, 262.0)",0.7,0.74,1,10432.778
9,False,514,catch,"[(1098, 886)]","[(1051, 892)]",[1],[0.5166666666666666],vertical,"(890.0, 762.0)",,bar_phase,0,10437.405
9,False,515,target,"[(1081, 251), (970, 423), (1095, 862)]",[],"[0, 0, 1]",[0.85],horizontal,"(390.0, 262.0)",1.2333333333333334,nan,0,10440.443
9,False,516,target,"[(1099, 873)]",[],[1],[0.55],vertical,"(390.0, 262.0)",1.0833333333333333,0.512,1,10449.444
9,False,517,target,"[(1085, 901)]",[],[1],[0.5166666666666666],vertical,"(390.0, 262.0)",0.5666666666666667,0.474,1,10454.022
9,False,518,target,"[(1075, 902)]",[],[1],[],horizontal,"(390.0, 762.0)",,cti_phase,0,10458.221
9,False,519,catch,"[(649, 733), (1108, 889)]",[],"[0, 1]",[],horizontal,"(390.0, 262.0)",,cti_phase,0,10462.778
9,False,520,target,"[(1103, 870)]",[],[1],[0.85],horizontal,"(890.0, 262.0)",1.55,nan,0,10470.088
9,False,521,target,"[(1093, 864)]",[],[1],[0.5333333333333333],horizontal,"(390.0, 762.0)",0.5333333333333333,0.491,1,10475.868
9,False,522,target,"[(1101, 904)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",1.6166666666666667,nan,0,10480.048
9,False,523,target,"[(1113, 861)]",[],[1],[0.4666666666666667],horizontal,"(890.0, 262.0)",1.4,0.428,1,10485.452
9,False,524,target,"[(1081, 885)]",[],[1],[0.6333333333333333],horizontal,"(390.0, 262.0)",0.8666666666666667,0.591,1,10490.527
9,False,525,target,"[(1094, 855)]",[],[1],[0.85],vertical,"(390.0, 262.0)",0.95,nan,0,10495.575
9,False,526,target,"[(1092, 852)]",[],[1],[0.45],vertical,"(890.0, 762.0)",1.5666666666666667,0.41,1,10500.846
9,False,527,target,"[(1094, 888)]",[],[1],[0.85],horizontal,"(390.0, 762.0)",0.5666666666666667,nan,0,10507.504
9,False,528,catch,"[(1095, 861)]",[],[1],[0.45],horizontal,"(890.0, 762.0)",1.1833333333333333,nan,1,10512.052
9,False,529,catch,"[(1095, 895)]",[],[1],[],horizontal,"(390.0, 262.0)",,cti_phase,0,10516.868
9,False,530,target,"[(1101, 862)]",[],[1],[0.48333333333333334],horizontal,"(890.0, 262.0)",1.4666666666666666,0.444,1,10520.254
9,False,531,target,"[(1085, 899)]",[],[1],[0.6833333333333333],vertical,"(390.0, 262.0)",0.6333333333333333,0.64,1,10525.187
9,False,532,target,"[(1092, 871)]","[(1056, 875)]",[1],[0.36666666666666664],vertical,"(390.0, 262.0)",,bar_phase,0,10529.593
9,False,533,target,"[(1090, 890)]",[],[1],[0.6333333333333333],horizontal,"(890.0, 762.0)",0.7666666666666666,0.591,1,10532.367
9,False,534,target,"[(1095, 905)]",[],[1],[0.55],vertical,"(890.0, 262.0)",0.5666666666666667,0.505,1,10536.966
9,False,535,catch,"[(1101, 896)]","[(1056, 899)]",[1],[0.15],horizontal,"(890.0, 762.0)",,bar_phase,0,10541.317
9,False,536,target,"[(1105, 875)]",[],[1],[0.15],vertical,"(390.0, 762.0)",1.5,0.116,1,10543.831
9,False,537,target,"[(1085, 894)]",[],[1],[0.85],horizontal,"(890.0, 762.0)",0.5,nan,0,10549.453
9,False,538,target,"[(1066, 872)]",[],[1],[0.48333333333333334],vertical,"(890.0, 762.0)",0.7333333333333333,0.439,1,10553.698
9,False,539,target,"[(1095, 886)]",[],[1],[],vertical,"(390.0, 762.0)",,cti_phase,0,10567.21
9,False,540,target,"[(1063, 884)]",[],[1],[0.5],horizontal,"(890.0, 762.0)",0.5833333333333334,0.459,1,10572.043
10,False,541,target,"[(1071, 896)]",[],[1],[],horizontal,"(390.0, 762.0)",,cti_phase,0,10576.036
